State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details
11,23,2021,8,1,604,2,5,3,0,4,2,0,3,0,2,61,66,1,2,1,1
29,10,2018,4,6,693,1,5,5,5,4,2,2,1,3,2,92,60,1,2,1,3
5,23,2023,8,6,1020,1,5,4,6,5,1,0,2,1,2,120,26,0,2,0,0
29,10,2020,6,2,23,1,3,1,10,5,3,1,1,0,1,76,34,0,1,1,3
25,23,2021,1,4,113,1,5,3,7,1,1,2,3,3,2,115,30,1,2,0,2
18,23,2020,9,5,1188,2,1,5,6,2,4,3,1,2,0,48,44,1,0,1,0
25,23,2021,10,1,505,0,2,6,9,5,1,2,2,3,0,111,48,0,2,0,3
10,23,2022,2,6,131,1,3,5,1,5,0,1,0,0,0,62,42,0,1,0,1
24,7,2021,5,2,1173,0,3,5,7,1,0,2,0,1,2,35,53,1,1,0,3
24,7,2018,1,2,834,0,2,2,3,2,1,1,2,0,2,110,50,0,2,1,3
10,23,2020,0,4,741,1,5,4,1,3,2,0,1,3,1,35,49,0,2,0,3
29,8,2018,1,5,398,0,3,1,1,4,0,0,3,3,3,46,41,1,1,0,1
2,23,2021,11,2,791,2,1,3,2,3,2,3,2,2,2,46,55,0,2,0,3
3,23,2020,6,6,1085,2,5,2,0,0,1,1,3,3,1,98,44,0,1,0,0
27,23,2021,1,0,507,2,3,1,6,3,1,0,3,1,0,47,54,1,1,0,2
1,23,2018,1,0,201,1,4,3,4,5,4,1,2,3,1,60,44,0,2,0,1
0,21,2019,10,3,187,1,2,3,7,4,3,3,0,0,2,90,51,0,1,0,1
13,1,2023,10,4,509,0,5,2,10,2,2,3,3,0,2,114,51,0,0,0,2
25,23,2023,9,6,92,2,3,0,7,1,3,0,2,1,2,80,55,1,1,1,0
5,23,2022,0,2,1077,0,3,2,7,5,1,1,3,2,2,46,57,0,1,1,3
15,23,2018,6,5,1158,2,5,6,6,3,3,2,1,3,1,30,20,0,0,1,0
22,23,2022,3,6,595,2,2,2,10,3,2,2,1,3,2,55,41,0,1,0,3
29,25,2022,5,0,501,0,1,6,9,4,0,0,3,1,1,34,23,0,0,1,0
16,15,2022,2,5,232,2,3,3,1,3,1,0,1,2,3,106,48,1,2,0,2
11,23,2022,3,1,907,2,1,6,1,1,1,2,0,1,0,31,20,1,2,0,3
26,11,2018,1,5,104,0,3,0,2,2,4,0,3,2,0,92,43,0,2,1,2
15,23,2019,0,6,358,1,2,4,7,5,0,1,2,2,0,71,65,1,2,0,3
15,23,2023,1,6,45,0,1,2,10,1,4,0,0,3,3,90,64,0,0,0,0
4,23,2019,7,0,342,2,2,1,8,0,4,3,3,2,1,83,31,0,0,0,1
29,25,2018,8,3,94,1,3,6,2,1,2,0,2,3,3,33,24,0,1,1,3
8,20,2019,7,4,310,0,2,2,7,0,4,1,2,1,2,69,51,0,1,0,0
29,10,2022,9,5,1226,0,1,1,0,3,0,0,2,0,1,53,63,1,1,0,3
16,13,2020,5,2,790,2,5,1,6,2,2,2,0,1,2,82,68,0,1,0,1
21,23,2018,5,4,153,1,3,0,7,2,4,1,0,0,2,79,41,1,1,1,1
27,23,2023,1,2,438,1,2,4,8,3,4,0,1,1,3,30,40,1,2,1,0
31,4,2023,3,3,112,2,3,3,9,5,2,3,0,0,3,106,25,0,0,1,3
14,23,2019,4,5,379,0,2,2,3,1,1,1,0,1,3,102,32,0,0,0,0
2,23,2020,5,4,523,1,2,2,1,5,1,0,2,1,3,48,69,0,0,0,1
20,23,2018,6,2,445,1,5,5,5,3,1,2,2,3,0,32,65,1,1,0,2
18,23,2022,3,1,1058,2,1,5,4,1,2,2,2,3,2,59,60,1,1,0,3
5,23,2022,3,6,462,0,2,5,5,5,3,0,2,2,3,88,53,0,0,0,0
8,20,2022,5,5,629,2,5,0,2,2,1,3,0,3,2,83,56,1,1,0,2
31,9,2020,0,0,1150,1,2,0,2,5,0,1,2,1,3,58,47,0,1,0,0
31,9,2018,2,3,1139,2,5,3,2,5,3,3,0,0,1,30,20,1,1,1,3
28,23,2022,3,3,93,2,1,5,8,1,1,0,0,1,2,104,42,1,1,0,1
13,1,2021,3,6,751,1,3,5,1,5,3,2,2,0,0,93,44,1,2,1,2
31,4,2021,9,0,1240,1,3,0,4,4,1,1,0,0,2,82,53,1,2,0,2
5,23,2020,4,5,539,0,5,3,0,2,3,3,3,2,2,82,48,1,1,1,1
10,23,2019,10,6,994,2,2,2,2,5,4,3,2,2,2,108,37,0,2,1,2
8,0,2023,8,3,966,1,4,0,9,4,2,0,1,3,3,41,49,0,1,0,1
8,0,2019,2,6,18,0,4,6,3,5,3,1,3,3,3,61,51,0,2,0,2
29,8,2018,8,4,507,1,2,6,6,2,3,0,3,3,3,109,30,1,1,0,0
21,23,2022,1,5,759,0,4,6,1,3,1,0,2,2,3,30,57,1,0,0,1
30,23,2022,8,3,1211,1,5,0,1,4,2,1,0,1,0,114,25,0,2,1,3
5,23,2021,0,2,1021,2,4,4,6,4,1,1,1,3,1,37,22,1,1,1,2
13,12,2020,10,4,632,2,2,1,1,5,2,1,2,0,2,50,44,1,0,0,3
30,23,2022,3,3,26,2,1,2,8,1,4,0,3,0,0,89,20,1,2,0,2
1,23,2023,3,0,746,0,2,6,9,2,3,1,2,2,0,117,59,1,2,1,0
31,19,2022,9,5,16,0,5,3,7,4,3,1,3,1,2,45,56,0,2,0,0
5,23,2018,0,1,1155,2,3,6,8,3,1,1,1,1,3,70,62,0,1,1,0
9,23,2021,1,3,1181,0,1,6,6,4,2,1,1,0,1,60,56,0,2,0,2
0,26,2022,4,1,1145,1,1,4,0,0,0,0,1,1,3,95,51,0,0,0,0
2,23,2023,6,2,1048,0,2,1,6,0,0,2,1,3,1,31,54,0,0,0,3
10,23,2018,10,2,101,1,1,3,6,3,1,3,0,1,3,85,55,1,1,0,2
21,23,2019,6,4,717,0,5,6,2,3,2,3,1,2,0,110,48,1,1,1,1
27,23,2019,1,2,95,2,3,1,3,2,1,0,3,1,2,90,66,1,1,0,2
30,23,2021,3,4,633,2,1,0,5,0,1,2,3,0,3,61,35,1,0,0,3
7,23,2018,3,2,310,0,3,0,0,4,0,3,0,1,3,35,23,0,2,1,1
4,23,2023,1,6,455,0,4,0,2,5,3,3,0,3,0,85,65,1,1,0,3
2,23,2023,0,3,1011,0,2,4,0,0,4,1,3,2,1,99,59,0,1,0,2
21,23,2018,8,6,21,2,3,4,0,3,2,2,3,3,3,30,41,0,2,0,2
19,23,2018,6,0,402,2,4,5,0,2,2,3,1,0,3,97,68,1,2,1,2
8,24,2023,7,6,239,0,3,5,2,3,1,2,3,1,2,105,59,1,0,0,2
18,23,2018,0,5,867,2,5,0,6,2,2,1,2,1,2,94,45,0,0,1,3
13,14,2019,10,1,995,1,4,1,10,2,4,3,3,0,3,44,42,0,2,1,0
30,23,2020,0,2,405,1,3,1,6,2,0,1,3,0,0,66,25,0,0,1,3
6,5,2018,4,5,975,2,5,6,1,4,3,1,2,3,3,77,63,0,2,1,2
12,23,2022,0,4,34,0,4,3,10,3,0,1,1,0,0,38,57,0,2,1,3
2,23,2020,0,2,548,1,1,2,3,2,0,3,0,0,1,43,60,0,2,0,3
